V,A
0,0
3.87,8.5
5.88,14
8.15,22
9.81,27
12.93,36
15.27,44
17.21,50
17.92,52.5
18.81,55
19.63,57
21.61,59
24.58,49
23.66,59
22.54,59
25.67,52
27.01,56
28.17,60
29.28,64
30.2,67
31.18,71
31.95,74
32.84,77
34.33,82
34.44,83
35.1,85
35.62,86
36.21,87
38.04,88
40.05,86
39.18,88
40.85,85
42.67,83
44.63,82
46.19,83
47.82,85
49.56,87
51.02,89
53.03,92
55.21,96
57.52,100
